                  1         2         3         4         5         6         7         8         9
  1.00E-01  3.13E-07  1.63E-07  7.29E-07  1.02E-06  6.31E-07  2.15E-06  2.53E-06  2.67E-06  2.05E-07
  1.13E-01  2.92E-07  1.50E-07  6.68E-07  9.42E-07  5.89E-07  2.04E-06  2.45E-06  2.63E-06  2.01E-07
  1.26E-01  2.76E-07  1.38E-07  6.11E-07  8.68E-07  5.48E-07  1.93E-06  2.37E-06  2.58E-06  1.97E-07
  1.41E-01  2.63E-07  1.27E-07  5.60E-07  7.98E-07  5.08E-07  1.82E-06  2.29E-06  2.53E-06  1.93E-07
  1.58E-01  2.53E-07  1.18E-07  5.14E-07  7.32E-07  4.68E-07  1.71E-06  2.19E-06  2.47E-06  1.89E-07
  1.76E-01  2.45E-07  1.11E-07  4.75E-07  6.71E-07  4.31E-07  1.59E-06  2.10E-06  2.41E-06  1.85E-07
  1.96E-01  2.39E-07  1.05E-07  4.41E-07  6.15E-07  3.96E-07  1.48E-06  2.00E-06  2.35E-06  1.80E-07
  2.18E-01  2.34E-07  1.00E-07  4.12E-07  5.65E-07  3.63E-07  1.37E-06  1.90E-06  2.28E-06  1.76E-07
  2.42E-01  2.29E-07  9.63E-08  3.88E-07  5.22E-07  3.33E-07  1.27E-06  1.80E-06  2.21E-06  1.71E-07
  2.68E-01  2.25E-07  9.32E-08  3.69E-07  4.84E-07  3.06E-07  1.17E-06  1.70E-06  2.14E-06  1.67E-07
  2.97E-01  2.21E-07  9.06E-08  3.53E-07  4.52E-07  2.82E-07  1.07E-06  1.59E-06  2.06E-06  1.62E-07
  3.27E-01  2.17E-07  8.84E-08  3.40E-07  4.25E-07  2.62E-07  9.85E-07  1.49E-06  1.99E-06  1.57E-07
  3.61E-01  2.13E-07  8.64E-08  3.29E-07  4.03E-07  2.44E-07  9.06E-07  1.39E-06  1.91E-06  1.53E-07
  3.97E-01  2.09E-07  8.45E-08  3.20E-07  3.84E-07  2.29E-07  8.34E-07  1.30E-06  1.83E-06  1.50E-07
  4.36E-01  2.04E-07  8.26E-08  3.12E-07  3.68E-07  2.16E-07  7.71E-07  1.20E-06  1.76E-06  1.50E-07
  4.77E-01  1.99E-07  8.07E-08  3.04E-07  3.55E-07  2.05E-07  7.15E-07  1.11E-06  1.70E-06  1.61E-07
  5.22E-01  1.94E-07  7.87E-08  2.96E-07  3.44E-07  1.96E-07  6.66E-07  1.03E-06  1.66E-06  1.80E-07
  5.70E-01  1.88E-07  7.66E-08  2.88E-07  3.33E-07  1.88E-07  6.24E-07  9.54E-07  1.69E-06  2.52E-07
  6.21E-01  1.82E-07  7.44E-08  2.81E-07  3.24E-07  1.81E-07  5.89E-07  8.91E-07  1.87E-06  4.35E-07
  6.76E-01  1.76E-07  7.20E-08  2.72E-07  3.14E-07  1.75E-07  5.57E-07  8.50E-07  2.37E-06  7.96E-07
  7.34E-01  1.69E-07  6.95E-08  2.63E-07  3.04E-07  1.69E-07  5.31E-07  8.43E-07  3.36E-06  1.44E-06
  7.96E-01  1.61E-07  6.68E-08  2.54E-07  2.94E-07  1.64E-07  5.07E-07  8.78E-07  5.02E-06  2.52E-06
  8.62E-01  1.53E-07  6.39E-08  2.44E-07  2.84E-07  1.58E-07  4.86E-07  1.00E-06  7.81E-06  4.28E-06
  9.31E-01  1.45E-07  6.08E-08  2.33E-07  2.73E-07  1.53E-07  4.66E-07  1.27E-06  1.23E-05  7.02E-06
  1.00E+00  1.36E-07  5.75E-08  2.22E-07  2.62E-07  1.47E-07  4.48E-07  1.68E-06  1.87E-05  1.10E-05
  1.08E+00  1.27E-07  5.41E-08  2.10E-07  2.50E-07  1.41E-07  4.31E-07  2.26E-06  2.76E-05  1.66E-05
  1.16E+00  1.17E-07  5.04E-08  1.97E-07  2.37E-07  1.34E-07  4.14E-07  3.06E-06  3.93E-05  2.41E-05
  1.25E+00  1.07E-07  4.67E-08  1.84E-07  2.24E-07  1.28E-07  3.97E-07  4.12E-06  5.44E-05  3.39E-05
  1.33E+00  9.59E-08  4.27E-08  1.70E-07  2.10E-07  1.21E-07  3.79E-07  5.48E-06  7.29E-05  4.60E-05
  1.43E+00  8.47E-08  3.86E-08  1.56E-07  1.95E-07  1.14E-07  3.62E-07  7.14E-06  9.48E-05  6.04E-05
  1.52E+00  7.30E-08  3.43E-08  1.41E-07  1.80E-07  1.06E-07  3.44E-07  9.11E-06  1.20E-04  7.71E-05
  1.62E+00  6.09E-08  2.98E-08  1.26E-07  1.64E-07  9.84E-08  3.25E-07  1.14E-05  1.48E-04  9.60E-05
  1.72E+00  4.85E-08  2.52E-08  1.10E-07  1.48E-07  9.04E-08  3.06E-07  1.38E-05  1.76E-04  1.15E-04
                 10        11        12        13        14        15        16        17        18
  7.00E-07  3.08E-07  1.42E-06  2.25E-07  9.32E-07  1.79E-07  7.57E-06  1.06E-07  5.89E-06  2.29E-07
  8.86E-07  3.09E-07  1.42E-06  2.26E-07  9.28E-07  1.78E-07  7.56E-06  1.06E-07  5.88E-06  2.27E-07
  1.12E-06  3.09E-07  1.42E-06  2.25E-07  9.29E-07  1.78E-07  7.56E-06  1.05E-07  5.88E-06  2.27E-07
  1.41E-06  3.08E-07  1.42E-06  2.25E-07  9.30E-07  1.78E-07  7.56E-06  1.06E-07  5.88E-06  2.27E-07
  1.78E-06  3.08E-07  1.42E-06  2.25E-07  9.29E-07  1.78E-07  7.56E-06  1.06E-07  5.87E-06  2.27E-07
  2.24E-06  3.08E-07  1.42E-06  2.25E-07  9.28E-07  1.78E-07  7.55E-06  1.06E-07  5.86E-06  2.27E-07
  2.81E-06  3.08E-07  1.42E-06  2.25E-07  9.28E-07  1.78E-07  7.54E-06  1.06E-07  5.85E-06  2.26E-07
  3.52E-06  3.08E-07  1.42E-06  2.25E-07  9.27E-07  1.78E-07  7.53E-06  1.06E-07  5.84E-06  2.26E-07
  4.40E-06  3.08E-07  1.42E-06  2.25E-07  9.26E-07  1.78E-07  7.52E-06  1.06E-07  5.83E-06  2.26E-07
  5.49E-06  3.08E-07  1.41E-06  2.25E-07  9.25E-07  1.78E-07  7.51E-06  1.05E-07  5.81E-06  2.25E-07
  6.85E-06  3.08E-07  1.41E-06  2.25E-07  9.24E-07  1.78E-07  7.50E-06  1.06E-07  5.80E-06  2.24E-07
  8.51E-06  3.08E-07  1.41E-06  2.25E-07  9.23E-07  1.77E-07  7.49E-06  1.05E-07  5.78E-06  2.24E-07
  1.06E-05  3.08E-07  1.41E-06  2.25E-07  9.22E-07  1.77E-07  7.48E-06  1.05E-07  5.77E-06  2.23E-07
  1.31E-05  3.07E-07  1.41E-06  2.24E-07  9.21E-07  1.77E-07  7.47E-06  1.05E-07  5.76E-06  2.23E-07
  1.62E-05  3.07E-07  1.41E-06  2.24E-07  9.21E-07  1.77E-07  7.46E-06  1.05E-07  5.74E-06  2.22E-07
  2.00E-05  3.07E-07  1.41E-06  2.24E-07  9.20E-07  1.77E-07  7.45E-06  1.05E-07  5.73E-06  2.22E-07
  2.47E-05  3.07E-07  1.41E-06  2.24E-07  9.19E-07  1.77E-07  7.44E-06  1.05E-07  5.72E-06  2.21E-07
  3.04E-05  3.07E-07  1.41E-06  2.24E-07  9.18E-07  1.77E-07  7.43E-06  1.05E-07  5.71E-06  2.21E-07
  3.73E-05  3.07E-07  1.41E-06  2.24E-07  9.18E-07  1.77E-07  7.43E-06  1.05E-07  5.71E-06  2.21E-07
  4.58E-05  3.07E-07  1.41E-06  2.24E-07  9.18E-07  1.77E-07  7.43E-06  1.05E-07  5.71E-06  2.21E-07
  5.60E-05  3.07E-07  1.41E-06  2.24E-07  9.18E-07  1.77E-07  7.43E-06  1.05E-07  5.71E-06  2.21E-07
  6.84E-05  3.07E-07  1.41E-06  2.24E-07  9.19E-07  1.77E-07  7.44E-06  1.05E-07  5.73E-06  2.22E-07
  8.35E-05  3.07E-07  1.41E-06  2.24E-07  9.20E-07  1.77E-07  7.46E-06  1.05E-07  5.75E-06  2.22E-07
  1.02E-04  3.07E-07  1.41E-06  2.25E-07  9.22E-07  1.77E-07  7.49E-06  1.05E-07  5.79E-06  2.24E-07
  1.24E-04  3.08E-07  1.41E-06  2.25E-07  9.25E-07  1.78E-07  7.53E-06  1.05E-07  5.84E-06  2.25E-07
  1.50E-04  3.08E-07  1.42E-06  2.25E-07  9.28E-07  1.78E-07  7.57E-06  1.06E-07  5.90E-06  2.27E-07
  1.81E-04  3.08E-07  1.42E-06  2.25E-07  9.31E-07  1.78E-07  7.61E-06  1.06E-07  5.96E-06  2.29E-07
  2.19E-04  3.09E-07  1.42E-06  2.26E-07  9.35E-07  1.78E-07  7.66E-06  1.06E-07  6.03E-06  2.31E-07
  2.65E-04  3.09E-07  1.42E-06  2.26E-07  9.38E-07  1.79E-07  7.71E-06  1.06E-07  6.09E-06  2.33E-07
  3.19E-04  3.09E-07  1.43E-06  2.26E-07  9.42E-07  1.79E-07  7.76E-06  1.06E-07  6.16E-06  2.35E-07
  3.83E-04  3.10E-07  1.43E-06  2.26E-07  9.45E-07  1.79E-07  7.81E-06  1.06E-07  6.23E-06  2.38E-07
  4.60E-04  3.10E-07  1.43E-06  2.27E-07  9.48E-07  1.79E-07  7.86E-06  1.07E-07  6.31E-06  2.40E-07
  5.51E-04  3.11E-07  1.44E-06  2.27E-07  9.52E-07  1.79E-07  7.92E-06  1.07E-07  6.38E-06  2.43E-07
  6.59E-04  3.11E-07  1.44E-06  2.27E-07  9.55E-07  1.80E-07  7.97E-06  1.07E-07  6.46E-06  2.45E-07
  7.87E-04  3.11E-07  1.44E-06  2.27E-07  9.59E-07  1.80E-07  8.03E-06  1.07E-07  6.53E-06  2.48E-07
  9.38E-04  3.11E-07  1.45E-06  2.28E-07  9.62E-07  1.80E-07  8.09E-06  1.07E-07  6.62E-06  2.51E-07
  1.12E-03  3.12E-07  1.45E-06  2.28E-07  9.67E-07  1.80E-07  8.18E-06  1.07E-07  6.76E-06  2.56E-07
  1.33E-03  3.12E-07  1.45E-06  2.28E-07  9.71E-07  1.80E-07  8.27E-06  1.07E-07  6.91E-06  2.61E-07
  1.57E-03  3.12E-07  1.45E-06  2.28E-07  9.75E-07  1.80E-07  8.36E-06  1.08E-07  7.06E-06  2.66E-07
  1.86E-03  3.12E-07  1.46E-06  2.28E-07  9.79E-07  1.80E-07  8.45E-06  1.08E-07  7.20E-06  2.71E-07
  2.20E-03  3.12E-07  1.46E-06  2.28E-07  9.82E-07  1.80E-07  8.54E-06  1.08E-07  7.34E-06  2.76E-07
  2.59E-03  3.13E-07  1.46E-06  2.29E-07  9.86E-07  1.81E-07  8.63E-06  1.08E-07  7.48E-06  2.82E-07
  3.05E-03  3.13E-07  1.46E-06  2.29E-07  9.89E-07  1.81E-07  8.72E-06  1.08E-07  7.62E-06  2.87E-07
  3.58E-03  3.13E-07  1.46E-06  2.29E-07  9.91E-07  1.80E-07  8.81E-06  1.08E-07  7.76E-06  2.92E-07
  4.20E-03  3.13E-07  1.46E-06  2.29E-07  9.94E-07  1.80E-07  8.90E-06  1.08E-07  7.89E-06  2.98E-07
  4.91E-03  3.13E-07  1.46E-06  2.29E-07  9.96E-07  1.80E-07  8.99E-06  1.08E-07  8.03E-06  3.03E-07
  5.74E-03  3.12E-07  1.46E-06  2.29E-07  9.98E-07  1.80E-07  9.08E-06  1.08E-07  8.16E-06  3.09E-07
  6.70E-03  3.12E-07  1.46E-06  2.29E-07  1.00E-06  1.80E-07  9.17E-06  1.08E-07  8.30E-06  3.14E-07
  7.80E-03  3.12E-07  1.46E-06  2.29E-07  1.00E-06  1.80E-07  9.26E-06  1.08E-07  8.44E-06  3.20E-07
  9.07E-03  3.12E-07  1.46E-06  2.29E-07  1.00E-06  1.80E-07  9.35E-06  1.08E-07  8.58E-06  3.25E-07
  1.05E-02  3.11E-07  1.44E-06  2.28E-07  1.00E-06  1.79E-07  9.40E-06  1.08E-07  8.70E-06  3.32E-07
  1.22E-02  3.11E-07  1.43E-06  2.28E-07  9.96E-07  1.79E-07  9.46E-06  1.08E-07  8.81E-06  3.39E-07
  1.41E-02  3.10E-07  1.43E-06  2.28E-07  9.93E-07  1.78E-07  9.52E-06  1.08E-07  8.93E-06  3.46E-07
  1.63E-02  3.10E-07  1.42E-06  2.28E-07  9.95E-07  1.78E-07  9.59E-06  1.08E-07  9.06E-06  3.55E-07
  1.87E-02  3.09E-07  1.42E-06  2.27E-07  9.97E-07  1.77E-07  9.68E-06  1.08E-07  9.20E-06  3.65E-07
  2.15E-02  3.08E-07  1.41E-06  2.27E-07  1.00E-06  1.76E-07  9.77E-06  1.08E-07  9.35E-06  3.77E-07
  2.47E-02  3.07E-07  1.41E-06  2.27E-07  1.00E-06  1.76E-07  9.87E-06  1.08E-07  9.51E-06  3.90E-07
  2.83E-02  3.06E-07  1.41E-06  2.26E-07  1.01E-06  1.75E-07  9.99E-06  1.08E-07  9.67E-06  4.05E-07
  3.24E-02  3.05E-07  1.41E-06  2.26E-07  1.01E-06  1.75E-07  1.01E-05  1.08E-07  9.85E-06  4.20E-07
  3.70E-02  3.04E-07  1.41E-06  2.25E-07  1.02E-06  1.74E-07  1.03E-05  1.07E-07  1.00E-05  4.38E-07
  4.22E-02  3.03E-07  1.41E-06  2.25E-07  1.02E-06  1.74E-07  1.04E-05  1.07E-07  1.02E-05  4.56E-07
  4.80E-02  3.01E-07  1.41E-06  2.24E-07  1.03E-06  1.73E-07  1.06E-05  1.07E-07  1.04E-05  4.76E-07
  5.45E-02  3.00E-07  1.41E-06  2.23E-07  1.03E-06  1.72E-07  1.07E-05  1.07E-07  1.07E-05  4.98E-07
  6.18E-02  2.98E-07  1.42E-06  2.22E-07  1.04E-06  1.72E-07  1.09E-05  1.07E-07  1.09E-05  5.21E-07
  6.99E-02  2.96E-07  1.42E-06  2.21E-07  1.04E-06  1.71E-07  1.11E-05  1.07E-07  1.12E-05  5.46E-07
  7.90E-02  2.94E-07  1.42E-06  2.20E-07  1.05E-06  1.70E-07  1.13E-05  1.06E-07  1.14E-05  5.72E-07
  8.90E-02  2.91E-07  1.42E-06  2.19E-07  1.06E-06  1.69E-07  1.15E-05  1.06E-07  1.17E-05  6.00E-07
  1.00E-01  2.89E-07  1.41E-06  2.18E-07  1.05E-06  1.68E-07  1.16E-05  1.06E-07  1.17E-05  6.12E-07
  1.13E-01  2.86E-07  1.38E-06  2.16E-07  1.03E-06  1.67E-07  1.14E-05  1.05E-07  1.16E-05  6.07E-07
  1.26E-01  2.83E-07  1.36E-06  2.14E-07  1.02E-06  1.65E-07  1.13E-05  1.05E-07  1.14E-05  6.03E-07
  1.41E-01  2.79E-07  1.33E-06  2.13E-07  1.00E-06  1.64E-07  1.12E-05  1.05E-07  1.13E-05  6.00E-07
  1.58E-01  2.75E-07  1.31E-06  2.11E-07  9.85E-07  1.62E-07  1.11E-05  1.04E-07  1.12E-05  5.98E-07
  1.76E-01  2.71E-07  1.28E-06  2.09E-07  9.70E-07  1.61E-07  1.10E-05  1.04E-07  1.11E-05  5.96E-07
  1.96E-01  2.67E-07  1.26E-06  2.06E-07  9.55E-07  1.59E-07  1.09E-05  1.03E-07  1.10E-05  5.94E-07
  2.18E-01  2.62E-07  1.23E-06  2.04E-07  9.40E-07  1.57E-07  1.08E-05  1.03E-07  1.10E-05  5.94E-07
  2.42E-01  2.57E-07  1.21E-06  2.01E-07  9.25E-07  1.56E-07  1.08E-05  1.02E-07  1.09E-05  5.93E-07
  2.68E-01  2.52E-07  1.18E-06  1.98E-07  9.11E-07  1.54E-07  1.07E-05  1.01E-07  1.09E-05  5.94E-07
  2.97E-01  2.46E-07  1.16E-06  1.95E-07  8.97E-07  1.52E-07  1.07E-05  1.01E-07  1.09E-05  5.95E-07
  3.27E-01  2.40E-07  1.15E-06  1.92E-07  8.99E-07  1.50E-07  1.09E-05  9.99E-08  1.11E-05  6.01E-07
  3.61E-01  2.34E-07  1.19E-06  1.88E-07  9.39E-07  1.49E-07  1.18E-05  9.92E-08  1.21E-05  6.22E-07
  3.97E-01  2.27E-07  1.27E-06  1.85E-07  1.02E-06  1.48E-07  1.33E-05  9.85E-08  1.36E-05  6.58E-07
  4.36E-01  2.20E-07  1.39E-06  1.81E-07  1.15E-06  1.48E-07  1.56E-05  9.78E-08  1.59E-05  7.10E-07
  4.77E-01  2.13E-07  1.82E-06  1.77E-07  1.53E-06  1.53E-07  2.17E-05  9.73E-08  2.22E-05  8.47E-07
  5.22E-01  2.06E-07  2.48E-06  1.73E-07  2.11E-06  1.67E-07  3.12E-05  9.70E-08  3.19E-05  1.06E-06
  5.70E-01  2.01E-07  4.10E-06  1.68E-07  3.57E-06  2.11E-07  5.45E-05  9.89E-08  5.59E-05  1.59E-06
  6.21E-01  2.00E-07  7.82E-06  1.65E-07  6.95E-06  3.15E-07  1.08E-04  1.06E-07  1.11E-04  2.81E-06
  6.76E-01  2.09E-07  1.47E-05  1.64E-07  1.33E-05  5.49E-07  2.09E-04  1.24E-07  2.15E-04  5.18E-06
  7.34E-01  2.57E-07  2.70E-05  1.70E-07  2.47E-05  9.73E-07  3.92E-04  1.70E-07  4.05E-04  9.56E-06
  7.96E-01  3.46E-07  4.79E-05  1.94E-07  4.43E-05  1.72E-06  7.11E-04  2.55E-07  7.38E-04  1.74E-05
  8.62E-01  5.37E-07  8.23E-05  2.47E-07  7.70E-05  3.00E-06  1.25E-03  4.04E-07  1.30E-03  3.09E-05
  9.31E-01  8.47E-07  1.37E-04  3.36E-07  1.29E-04  5.09E-06  2.11E-03  6.73E-07  2.20E-03  5.36E-05
  1.00E+00  1.31E-06  2.18E-04  5.03E-07  2.09E-04  8.28E-06  3.41E-03  1.10E-06  3.53E-03  8.88E-05
  1.08E+00  2.00E-06  3.33E-04  7.45E-07  3.22E-04  1.29E-05  5.25E-03  1.72E-06  5.36E-03  1.41E-04
  1.16E+00  2.95E-06  4.89E-04  1.10E-06  4.79E-04  1.95E-05  7.69E-03  2.61E-06  7.74E-03  2.17E-04
  1.25E+00  4.20E-06  6.94E-04  1.58E-06  6.89E-04  2.85E-05  1.07E-02  3.84E-06  1.06E-02  3.23E-04
  1.33E+00  5.78E-06  9.48E-04  2.22E-06  9.54E-04  4.01E-05  1.42E-02  5.48E-06  1.36E-02  4.64E-04
